Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-06-07;733.27;736.71;730.8;731.09;1215741.0;0.0;1.0;733.27;736.71;730.8;731.09;1215741.0
2016-06-08;739.5;743.81;735.765;742.93;1615727.0;0.0;1.0;739.5;743.81;735.765;742.93;1615727.0
2016-06-09;737.07;743.93;736.5;742.52;958963.0;0.0;1.0;737.07;743.93;736.5;742.52;958963.0
2016-06-10;735.95;739.64;730.51;733.19;1452456.0;0.0;1.0;735.95;739.64;730.51;733.19;1452456.0
2016-06-13;729.82;739.0;729.82;731.88;1167736.0;0.0;1.0;729.82;739.0;729.82;731.88;1167736.0
2016-06-14;729.31;736.0;726.5;733.25;1329176.0;0.0;1.0;729.31;736.0;726.5;733.25;1329176.0
2016-06-15;734.92;737.15;731.31;732.19;1161701.0;0.0;1.0;734.92;737.15;731.31;732.19;1161701.0
2016-06-16;727.96;730.39;715.54;724.25;2250083.0;0.0;1.0;727.96;730.39;715.54;724.25;2250083.0
2016-06-17;721.39;721.39;701.12;704.25;4113085.0;0.0;1.0;721.39;721.39;701.12;704.25;4113085.0
2016-06-20;710.31;715.87;705.41;706.13;2282725.0;0.0;1.0;710.31;715.87;705.41;706.13;2282725.0
2016-06-21;710.05;715.38;704.66;708.88;1515918.0;0.0;1.0;710.05;715.38;704.66;708.88;1515918.0
2016-06-22;714.05;714.21;705.88;710.47;1452884.0;0.0;1.0;714.05;714.21;705.88;710.47;1452884.0
2016-06-23;710.55;714.88;700.25;714.87;2125028.0;0.0;1.0;710.55;714.88;700.25;714.87;2125028.0
2016-06-24;690.17;705.0;684.91;685.2;4771780.0;0.0;1.0;690.17;705.0;684.91;685.2;4771780.0
2016-06-27;682.49;683.325;672.66;681.14;2919486.0;0.0;1.0;682.49;683.325;672.66;681.14;2919486.0
2016-06-28;691.37;692.7399;684.85;691.26;1912280.0;0.0;1.0;691.37;692.7399;684.85;691.26;1912280.0
2016-06-29;694.26;699.5;692.6834;695.19;2156218.0;0.0;1.0;694.26;699.5;692.6834;695.19;2156218.0
2016-06-30;697.65;703.77;694.9015;703.53;2112513.0;0.0;1.0;697.65;703.77;694.9015;703.53;2112513.0
2016-07-01;705.1;712.53;703.73;710.25;1549160.0;0.0;1.0;705.1;712.53;703.73;710.25;1549160.0
